Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	tree_length
0	-1006.535	-1073.272	66.73775	0.4168625	1.017401	2.461715
6	-1005.265	-1071.894	66.62882	0.307635	1.129238	2.531773
12	-1013.963	-1079.272	65.30843	0.4471702	1.301125	3.158546
18	-1006.622	-1072.925	66.30286	0.6787496	1.301125	2.410376
24	-1002.153	-1068.715	66.56204	0.4692264	1.690196	2.19507
30	-1004.243	-1070.659	66.41612	0.5634314	1.690196	2.228484
36	-1006.708	-1074.052	67.34459	0.5820574	0.8282209	2.09593
42	-1000.117	-1066.718	66.60095	0.4250199	1.02348	2.538373
48	-997.1347	-1064.052	66.9173	0.5240647	0.8852088	2.367509
54	-1003.777	-1070.597	66.81964	0.5006364	1.17478	2.263362
60	-999.3946	-1065.965	66.57012	0.5584154	0.8029315	2.621589
66	-1003.65	-1069.963	66.31358	0.5606659	1.041457	2.621589
72	-1000.973	-1067.889	66.91575	0.5931887	1.160293	2.149713
78	-997.3236	-1064.888	67.56452	0.5705661	1.160293	1.727237
84	-1005.308	-1072.654	67.34641	0.7581665	1.173259	1.740566
90	-1012.939	-1081.178	68.23962	0.8439308	0.791993	1.299749
96	-1004.561	-1072.105	67.5448	0.9978269	1.074538	1.488555
102	-1004.517	-1072.559	68.04179	0.7813308	0.6820923	1.604106
108	-1006.498	-1074.053	67.55504	0.8864167	1.044211	1.585072
114	-1009.103	-1077.428	68.32521	1.000761	0.7275698	1.162037
120	-1004.684	-1072.323	67.63918	0.985266	1.35458	1.23171
126	-1002.361	-1069.99	67.62933	1.066969	1.35458	1.170146
132	-1010.213	-1077.856	67.64377	0.8542535	0.9559545	1.608165
138	-1014.285	-1082.205	67.92028	1.122737	0.7524674	1.370431
144	-1007.136	-1074.846	67.70957	1.124258	0.8860111	1.412651
150	-998.4003	-1066.266	67.86616	1.295079	0.9082956	1.121438
156	-996.8935	-1064.783	67.88922	1.221356	0.9082956	1.166437
162	-1001.9	-1070.096	68.19646	1.212513	0.936891	0.834785
168	-996.9049	-1065.271	68.36577	1.396399	0.6425538	0.834785
174	-996.9241	-1065.038	68.1136	1.052567	0.7029171	1.322348
180	-1002.07	-1070.015	67.94526	1.235792	0.7977627	1.213069
186	-1011.343	-1079.654	68.31029	1.008066	0.7977627	1.091713
192	-1013.141	-1081.161	68.01966	1.230728	0.7977627	1.15301
198	-1001.391	-1069.012	67.62187	1.012927	1.255087	1.290534
204	-1009.716	-1077.241	67.52581	1.191086	1.292921	1.195485
210	-999.2836	-1067.439	68.15549	1.265646	1.003247	0.7225865
216	-998.1933	-1066.142	67.94866	1.148521	1.184614	0.9209889
222	-1001.552	-1069.656	68.10411	1.425305	0.9567202	0.5945539
228	-1004.805	-1072.799	67.99425	1.620759	0.8908573	0.4896349
234	-998.7561	-1066.953	68.1972	1.586736	0.7447471	0.4755283
240	-995.9459	-1063.714	67.76766	1.588922	1.150913	0.5298552
246	-1000.449	-1067.926	67.47665	1.588922	1.506288	0.451079
252	-1004.576	-1072.349	67.77332	1.636997	1.088699	0.451079
258	-1008.916	-1076.66	67.74389	1.225211	1.034134	1.177553
264	-1008.877	-1076.596	67.71937	1.086242	0.9556299	1.376917
270	-998.1163	-1066.23	68.11364	1.340318	0.8735166	0.8631356
276	-998.7019	-1066.941	68.23903	1.048366	0.7818478	1.136996
282	-1006.146	-1074.406	68.26022	1.083074	0.8256889	1.037447
288	-1006.491	-1074.28	67.78841	0.8901989	1.108766	1.359026
294	-1002.686	-1070.242	67.55617	0.6623267	1.015613	1.764024
300	-998.9445	-1066.517	67.57207	0.7730582	1.13413	1.593812
306	-1002.824	-1070.93	68.10567	0.8681491	0.7746418	1.403362
312	-1004.71	-1072.455	67.74591	0.7156065	1.292859	1.403362
318	-1001.252	-1068.486	67.23317	0.6268566	1.243318	1.867727
324	-1007.113	-1074.345	67.23221	0.610303	1.066084	1.987052
330	-1011.149	-1078.639	67.48962	0.6322748	0.8129789	1.978237
336	-1005.91	-1073.389	67.47829	0.7651799	0.8589355	1.86051
342	-1001.91	-1068.639	66.72919	0.618077	1.447191	2.101601
348	-1002.843	-1069.977	67.13382	0.5139567	0.9595574	2.184599
354	-1000.278	-1067.127	66.84901	0.7884811	0.9695636	2.184599
360	-999.9071	-1066.728	66.82093	0.6670405	0.722582	2.458988
366	-1001.501	-1068.878	67.37695	0.6267383	0.722582	2.129106
372	-1003.629	-1070.713	67.08396	0.7766384	0.97738	2.033134
378	-998.4344	-1065.592	67.15803	0.8457652	1.074045	1.873103
384	-994.9343	-1063.31	68.37592	1.130538	0.544806	1.226835
390	-993.8535	-1061.509	67.655	1.034482	0.6267101	1.753205
396	-998.412	-1066.446	68.03365	1.177325	0.5546722	1.450772
402	-1005.472	-1073.704	68.23199	0.9409524	0.3810263	1.700475
408	-1000.179	-1067.748	67.56923	0.9200034	0.5917654	1.925272
414	-1004.472	-1071.337	66.86454	0.6788277	0.7766083	2.38192
420	-1011.348	-1079.029	67.68103	0.8725543	0.7285752	1.75324
426	-1001.105	-1068.551	67.44596	0.9145377	1.086118	1.614886
432	-1000.696	-1068.664	67.96804	0.9407973	0.8907456	1.349808
438	-1006.517	-1074.275	67.75819	0.9494618	1.264375	1.223563
444	-1005.769	-1073.61	67.84178	1.091493	1.140805	1.120562
450	-1002.715	-1070.409	67.69386	0.8370825	1.203566	1.408088
456	-1003.11	-1070.606	67.49577	0.887761	0.998743	1.659292
462	-1009.837	-1076.865	67.02711	0.9532812	1.110456	1.865818
468	-1014.171	-1082.423	68.25152	1.066141	0.4615197	1.485541
474	-999.8292	-1067.433	67.60384	1.101499	1.208883	1.265008
480	-1004.886	-1072.807	67.92157	1.347341	0.752069	1.185068
486	-1002.93	-1070.896	67.96633	1.409853	1.055775	0.7119416
492	-999.8029	-1067.728	67.92463	1.424161	1.055775	0.7550015
498	-997.2307	-1065.279	68.04805	1.424161	0.9324871	0.7557571
504	-997.0407	-1064.909	67.86861	1.537952	1.08519	0.582119
510	-1000.921	-1068.437	67.5156	1.637356	1.386285	0.5676664
516	-1000.938	-1068.666	67.72752	1.737893	1.036302	0.5069179
522	-996.6823	-1064.335	67.65288	1.812187	0.941381	0.311505
528	-1001.988	-1068.957	66.96924	1.842137	1.797074	0.3452493
534	-1001.998	-1069.763	67.76482	1.785421	0.9190983	0.3798137
540	-1001.11	-1068.446	67.33568	1.655226	1.618308	0.4939161
546	-993.6259	-1061.368	67.7425	1.565887	1.205707	0.4731094
552	-999.8882	-1067.58	67.69182	1.559395	1.273047	0.4738975
558	-998.6124	-1066.385	67.77219	1.743954	0.9807298	0.5494265
564	-1000.974	-1069.075	68.10053	1.554734	0.8288718	0.6311059
570	-997.2573	-1065.015	67.75749	1.528307	1.176518	0.6745594
576	-1004.244	-1072.858	68.61379	1.33334	0.5089885	0.8538079
582	-1003.445	-1071.644	68.19921	1.474173	0.7952686	0.6760812
588	-1000.827	-1068.797	67.97057	1.504391	1.006587	0.6061735
594	-1006.034	-1073.907	67.87308	1.708416	0.9214262	0.4800401
600	-1001.037	-1068.611	67.57418	1.519992	1.474215	0.5099798
606	-1005.632	-1073.183	67.55123	1.490211	1.503286	0.6361005
612	-999.4177	-1067.426	68.00787	1.490211	0.9996811	0.5433795
618	-995.4846	-1063.53	68.04555	1.626108	0.8324516	0.5694579
624	-1006.842	-1074.34	67.4977	1.190696	1.668205	0.9608019
630	-1003.237	-1070.911	67.67375	1.239448	1.330087	0.9857511
636	-1002.365	-1070.179	67.81489	1.151722	0.9472845	1.253985
642	-1005.128	-1073.289	68.16102	1.379075	0.8045391	0.8541467
648	-1004.563	-1072.488	67.92499	1.170159	1.225447	0.8834812
654	-1003.86	-1071.949	68.08892	1.23234	0.9722983	0.8953106
660	-1011.408	-1079.702	68.29427	0.948016	0.7400714	1.220604
666	-1000.736	-1068.376	67.64006	0.9372337	0.8426437	1.639585
672	-996.6964	-1064.265	67.56816	0.8643482	0.9774246	1.639585
678	-999.372	-1067.308	67.93611	0.7877217	0.7526931	1.610638
684	-1000.024	-1067.467	67.4427	0.7668607	0.7853993	1.941258
690	-999.9257	-1067.501	67.57562	0.6755594	1.005203	1.748403
696	-998.3177	-1065.936	67.6179	0.8591665	1.036962	1.564139
702	-1004.283	-1071.73	67.44751	1.160979	0.9506957	1.531107
708	-994.2582	-1062.422	68.16374	1.152262	0.9160266	0.9645696
714	-997.1745	-1064.767	67.59237	1.252053	1.427976	0.9776744
720	-1004.717	-1072.634	67.91783	1.118355	1.192989	0.9776744
726	-1000.143	-1067.793	67.65047	0.9734877	1.302717	1.266976
732	-1004.792	-1072.809	68.01755	1.099813	1.031489	1.045
738	-1008.986	-1076.782	67.7963	1.071549	1.51961	0.8781995
744	-1009.224	-1076.782	67.55806	1.208533	1.73248	0.8227104
750	-1009.995	-1078.482	68.48729	1.106162	0.7025764	0.9363295
756	-1005.879	-1073.894	68.01509	1.132057	1.106327	0.9433377
762	-1004.455	-1072.716	68.26094	1.132057	0.7984938	1.019972
768	-1008.403	-1076.489	68.08665	1.151202	0.7984938	1.163278
774	-1002.922	-1070.921	67.99879	0.9793525	0.808458	1.368517
780	-996.4701	-1063.721	67.2505	0.7921782	1.095115	1.832902
786	-1000.79	-1068.281	67.49026	0.8433248	0.880455	1.781937
792	-995.4735	-1062.861	67.38715	0.6651398	1.008606	1.883321
798	-1000.715	-1067.977	67.26187	0.4739727	1.041036	2.073796
804	-998.2532	-1065.709	67.45542	0.4802413	0.8956322	2.040307
810	-998.9411	-1065.836	66.89473	0.6696371	1.402298	1.980531
816	-1001.209	-1068.511	67.30233	0.6962029	0.719031	2.135425
822	-994.737	-1062.37	67.63302	0.7139909	0.8466053	1.798824
828	-997.3625	-1064.745	67.38244	0.8337222	0.96818	1.798824
834	-996.4954	-1064.629	68.13337	0.9191156	0.96818	1.162289
840	-1003.167	-1070.883	67.71573	1.16578	0.9538391	1.318049
846	-1002.99	-1070.513	67.52345	0.84682	1.156458	1.560649
852	-996.8168	-1064.275	67.45826	0.9167604	1.117846	1.582864
858	-997.7812	-1065.364	67.58264	0.6616177	1.117846	1.677185
864	-1004.291	-1071.704	67.41252	0.8252804	1.355688	1.534494
870	-1000.473	-1067.897	67.42411	0.4932709	0.9255885	2.031127
876	-999.9216	-1067.272	67.3499	0.6646144	1.052271	1.879969
882	-1004.624	-1072.332	67.70842	0.5445094	1.052271	1.714775
888	-998.417	-1066.264	67.84707	0.6538146	0.8655919	1.675813
894	-997.1731	-1064.796	67.62237	0.7754581	0.9486152	1.685581
900	-1001.342	-1067.896	66.55369	0.5372888	0.9376286	2.552158
906	-1003.486	-1070.763	67.27761	0.6126274	1.034088	1.975767
912	-1002.758	-1070.039	67.28146	0.8080094	1.193982	1.738357
918	-996.5017	-1064.103	67.60142	0.7162778	0.802891	1.853749
924	-1003.752	-1070.515	66.76225	0.6120706	1.613769	2.004063
930	-1005.444	-1072.483	67.0386	0.6304133	1.073466	2.097293
936	-1004.046	-1071.001	66.95447	0.7094172	1.451168	1.888269
942	-999.9069	-1066.961	67.05397	0.8661303	1.451168	1.710818
948	-997.4747	-1064.601	67.12589	0.6950228	0.9257385	2.094689
